               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11304,            0.051479,            0.028913,            0.098345,            0.044044,            0.016628,           0.0032965,            0.076022,            0.034103,            0.018214,             0.00015,             0.00015,             0.09865
                   1,             0.09626,            0.041035,            0.028605,            0.053243,            0.095768,            0.028968,           0.0063985,            0.052514,            0.034281,            0.016988,          0.00030998,          0.00030998,             0.09721
                   2,            0.089079,            0.043149,            0.027728,            0.078503,             0.28056,            0.084132,            0.024947,            0.047338,            0.031377,            0.016061,           0.0004699,           0.0004699,             0.09577
                   3,            0.077591,            0.043151,            0.026187,               0.243,             0.60172,              0.2496,            0.067399,            0.041158,            0.028545,            0.014606,          0.00062969,          0.00062969,             0.09433
                   4,            0.073126,            0.041873,            0.024156,             0.49153,             0.65486,             0.46852,             0.18653,             0.03671,            0.025313,            0.013643,           0.0007893,           0.0007893,            0.092889
                   5,            0.066176,            0.037357,            0.022572,             0.70436,             0.71034,              0.7519,              0.3276,            0.029041,            0.023278,            0.012508,          0.00094868,          0.00094868,            0.091449
                   6,             0.05954,            0.034809,            0.021637,             0.83601,             0.72105,             0.81577,             0.34287,              0.0269,            0.019743,            0.010449,           0.0011078,           0.0011078,            0.090008
                   7,            0.056182,            0.035047,            0.018317,             0.85554,             0.80447,             0.85248,             0.37134,            0.023994,            0.017802,           0.0089055,           0.0012665,           0.0012665,            0.088567
                   8,            0.053705,            0.032528,            0.015947,             0.82654,              0.8047,             0.86881,             0.46573,             0.02334,            0.015949,           0.0071468,           0.0014249,           0.0014249,            0.087125
                   9,            0.053137,            0.031443,            0.013327,             0.87358,             0.83966,             0.91842,             0.56652,            0.021811,            0.015136,            0.005816,           0.0015829,           0.0015829,            0.085683
                  10,            0.056301,            0.029818,            0.010118,             0.55066,             0.72712,             0.60147,             0.22119,            0.040092,            0.014503,           0.0042725,           0.0017403,           0.0017403,             0.08424
                  11,            0.053155,            0.029621,           0.0089995,             0.82977,             0.73303,             0.85949,             0.40239,            0.030002,            0.014236,           0.0031725,           0.0018972,           0.0018972,            0.082797
                  12,            0.051375,             0.02798,           0.0075431,             0.81996,             0.80024,             0.89956,             0.23525,             0.03918,            0.013573,           0.0031029,           0.0020535,           0.0020535,            0.081354
                  13,            0.051445,            0.026796,           0.0069271,              0.6727,             0.71405,             0.75154,              0.3325,            0.031114,            0.013928,           0.0025498,           0.0022092,           0.0022092,            0.079909
                  14,             0.05206,            0.026473,           0.0071819,             0.96296,             0.82805,             0.90536,             0.42636,            0.031682,             0.01354,           0.0027574,           0.0023641,           0.0023641,            0.078464
                  15,            0.050705,             0.02641,           0.0064427,             0.74743,             0.81358,             0.82352,             0.48687,            0.032637,            0.013292,           0.0029724,           0.0025183,           0.0025183,            0.077018
                  16,            0.051111,            0.022761,           0.0055678,             0.71046,              0.7627,             0.78269,             0.20745,            0.031686,            0.012586,            0.002629,           0.0026717,           0.0026717,            0.075572
                  17,            0.049699,            0.026142,           0.0056336,             0.84716,             0.76301,             0.87961,             0.51435,            0.033236,            0.011761,           0.0024039,           0.0028242,           0.0028242,            0.074124
                  18,            0.047773,            0.026229,           0.0058097,             0.49028,             0.77529,             0.63259,             0.22557,            0.040897,            0.011884,           0.0024755,           0.0029759,           0.0029759,            0.072676
                  19,            0.051762,            0.025135,            0.005253,             0.65477,             0.77787,             0.79444,             0.29629,            0.035013,            0.011609,           0.0021104,           0.0031265,           0.0031265,            0.071227
                  20,            0.049469,            0.026272,           0.0044996,             0.56471,             0.87508,              0.6563,             0.25619,            0.035634,            0.011639,           0.0020411,           0.0032762,           0.0032762,            0.069776
                  21,            0.049226,            0.025819,           0.0043324,             0.59435,             0.64091,             0.69955,             0.38516,            0.031586,            0.011601,           0.0019524,           0.0034248,           0.0034248,            0.068325
                  22,             0.04879,            0.024263,           0.0047539,             0.89307,             0.83144,             0.91437,             0.49797,            0.030145,            0.011327,            0.002102,           0.0035724,           0.0035724,            0.066872
                  23,             0.05016,            0.023812,           0.0049662,             0.95087,             0.97666,             0.98831,             0.54483,            0.024026,            0.011284,           0.0020452,           0.0037187,           0.0037187,            0.065419
                  24,            0.046735,            0.025229,           0.0051277,             0.94396,             0.96411,              0.9844,              0.7518,            0.019728,            0.010478,           0.0018496,           0.0038639,           0.0038639,            0.063964
                  25,            0.044408,            0.024763,           0.0046182,              0.7696,             0.86646,             0.88032,             0.41187,            0.026698,            0.011205,           0.0019931,           0.0040078,           0.0040078,            0.062508
                  26,            0.045072,            0.023503,           0.0039612,             0.72298,             0.85773,             0.84653,             0.42974,            0.028313,            0.010713,           0.0017642,           0.0041505,           0.0041505,             0.06105
                  27,            0.041719,            0.023429,           0.0035218,             0.57771,             0.79514,             0.68391,             0.22593,            0.032007,            0.010833,           0.0018333,           0.0042918,           0.0042918,            0.059592
                  28,            0.042912,              0.0243,           0.0037311,             0.92262,             0.79186,             0.93493,             0.54483,            0.027289,           0.0098901,            0.001671,           0.0044317,           0.0044317,            0.058132
                  29,            0.041674,            0.021429,           0.0035783,             0.93231,             0.99999,              0.9851,             0.66604,            0.018103,            0.010151,            0.001853,           0.0045702,           0.0045702,             0.05667
                  30,            0.041209,             0.02442,           0.0032211,             0.97213,             0.90133,             0.96307,             0.52091,            0.021956,            0.010223,           0.0016461,           0.0047072,           0.0047072,            0.055207
                  31,            0.046056,            0.022632,           0.0041998,             0.84035,             0.86787,             0.91064,              0.5945,            0.027127,            0.010822,           0.0018812,           0.0048427,           0.0048427,            0.053743
                  32,            0.043917,            0.023752,           0.0041412,             0.95463,             0.88065,             0.96797,             0.56917,             0.01994,            0.010076,           0.0020555,           0.0049767,           0.0049767,            0.052277
                  33,             0.04368,            0.024673,           0.0035584,             0.95983,             0.91892,             0.97174,             0.53952,            0.023764,           0.0095994,           0.0018017,            0.005109,            0.005109,            0.050809
                  34,            0.040987,            0.022857,            0.005031,             0.97065,             0.98223,              0.9855,             0.62365,            0.019739,             0.01016,             0.00181,           0.0052397,           0.0052397,             0.04934
                  35,            0.041551,            0.022356,           0.0040547,             0.89104,             0.81299,             0.94958,             0.39418,            0.026711,            0.010136,           0.0016265,           0.0053687,           0.0053687,            0.047869
                  36,            0.039177,            0.022067,           0.0042164,             0.79567,             0.98229,             0.93575,             0.66792,             0.01881,           0.0098495,           0.0017583,            0.005496,            0.005496,            0.046396
                  37,            0.042629,            0.022781,           0.0036028,             0.94215,             0.97024,             0.95713,             0.67594,             0.01888,           0.0099218,           0.0017755,           0.0056215,           0.0056215,            0.044922
                  38,            0.038165,            0.023169,           0.0043664,              0.9787,             0.97315,             0.98552,             0.73892,            0.015369,           0.0093851,           0.0018047,           0.0057452,           0.0057452,            0.043445
                  39,            0.040655,             0.02414,            0.003617,             0.85625,             0.96202,             0.97935,             0.70638,             0.01793,             0.01011,           0.0017658,           0.0058671,           0.0058671,            0.041967
                  40,            0.036991,            0.024617,           0.0038047,             0.77018,             0.97288,             0.92972,             0.48277,            0.019966,            0.010326,           0.0018513,           0.0059871,           0.0059871,            0.040487
                  41,            0.036853,            0.021394,           0.0036269,             0.98201,               0.969,             0.99059,             0.74237,            0.014563,           0.0093795,            0.001702,           0.0061051,           0.0061051,            0.039005
                  42,            0.037351,            0.021763,           0.0038797,             0.95807,             0.97924,             0.98715,             0.72721,            0.017569,           0.0096993,           0.0016273,           0.0062213,           0.0062213,            0.037521
                  43,             0.03863,            0.022873,           0.0046398,             0.96578,             0.98047,             0.98901,             0.70284,            0.017232,            0.009749,           0.0016818,           0.0063354,           0.0063354,            0.036035
                  44,            0.041144,            0.021435,           0.0070693,             0.96581,             0.97553,             0.98511,             0.78373,            0.015821,            0.010538,           0.0019094,           0.0064475,           0.0064475,            0.034547
                  45,            0.037467,            0.022499,           0.0043501,             0.99091,             0.96411,               0.992,             0.79503,            0.014143,           0.0092351,           0.0016816,           0.0065575,           0.0065575,            0.033058
                  46,            0.035027,            0.021921,           0.0032735,             0.97318,             0.93127,             0.97943,             0.74865,            0.021129,           0.0095528,           0.0015409,           0.0066655,           0.0066655,            0.031566
                  47,            0.037827,              0.0221,           0.0033139,             0.95715,             0.98626,             0.98452,             0.73791,            0.015098,           0.0099938,           0.0015207,           0.0067713,           0.0067713,            0.030071
                  48,            0.036081,            0.023387,           0.0035028,             0.97333,             0.97784,             0.97617,             0.72669,            0.014989,             0.01031,           0.0016003,            0.006875,            0.006875,            0.028575
                  49,            0.035768,            0.021825,           0.0043403,             0.97386,             0.97749,             0.98873,             0.76848,             0.01522,            0.010578,           0.0014201,           0.0069765,           0.0069765,            0.027077
                  50,            0.029336,            0.021035,           0.0033667,             0.72757,             0.97401,             0.97147,             0.66919,            0.015584,             0.01162,            0.010212,           0.0070758,           0.0070758,            0.025576
                  51,            0.032638,            0.021058,           0.0032599,             0.76101,              0.9732,             0.97598,             0.68271,            0.013751,           0.0096892,           0.0099794,           0.0071729,           0.0071729,            0.024073
                  52,             0.03504,            0.022546,           0.0035038,             0.93159,              0.9732,             0.94395,             0.74356,            0.016149,           0.0098459,           0.0031879,           0.0072677,           0.0072677,            0.022568
                  53,            0.031092,             0.01977,           0.0030946,             0.97227,             0.91143,             0.96663,             0.64654,            0.018029,           0.0090685,           0.0017141,           0.0073601,           0.0073601,             0.02106
                  54,            0.034922,            0.020017,           0.0030722,             0.94867,              0.9645,             0.98002,              0.7578,            0.019738,           0.0095954,           0.0014782,           0.0074503,           0.0074503,             0.01955
                  55,            0.037129,            0.020635,           0.0034569,             0.95797,             0.97482,             0.98349,              0.5732,            0.022939,           0.0093925,           0.0013762,           0.0075382,           0.0075382,            0.018038
                  56,            0.038026,            0.021325,           0.0026555,             0.97803,             0.97318,              0.9904,             0.76187,            0.012855,           0.0092306,           0.0014725,           0.0076236,           0.0076236,            0.016524
                  57,            0.034996,            0.023108,           0.0037551,             0.98084,             0.98229,             0.98941,             0.66714,            0.017222,            0.010028,           0.0014286,           0.0077067,           0.0077067,            0.015007
                  58,            0.041531,             0.02119,           0.0026761,             0.90314,             0.98229,              0.9822,             0.71981,            0.017929,           0.0096691,           0.0014427,           0.0077874,           0.0077874,            0.013487
                  59,            0.039953,            0.021267,           0.0032132,             0.98099,             0.98229,             0.98659,             0.72527,            0.014874,           0.0099622,           0.0014722,           0.0078656,           0.0078656,            0.011966
                  60,             0.03849,            0.020612,           0.0038593,             0.96457,             0.97305,             0.99207,             0.83837,            0.018788,           0.0098269,           0.0014702,           0.0079414,           0.0079414,            0.010441
                  61,            0.040383,            0.020803,           0.0027023,             0.98227,             0.98395,             0.98936,             0.72253,            0.016882,           0.0094466,           0.0014407,           0.0080147,           0.0080147,           0.0089147
                  62,            0.037389,            0.020555,           0.0028771,             0.95008,             0.98245,             0.98926,             0.74714,            0.017285,           0.0093998,           0.0013205,           0.0080294,           0.0080294,           0.0080294
                  63,            0.042288,            0.020424,           0.0026945,             0.92268,             0.98229,             0.98728,             0.68552,            0.018344,           0.0092882,           0.0013035,           0.0080294,           0.0080294,           0.0080294
                  64,            0.035216,            0.020056,           0.0021888,             0.98173,             0.97367,             0.98349,             0.69767,            0.016408,           0.0097071,           0.0013179,           0.0079706,           0.0079706,           0.0079706
                  65,            0.035176,            0.018931,           0.0022917,             0.94083,             0.98947,             0.98122,             0.62186,            0.022556,           0.0083968,           0.0014618,           0.0079112,           0.0079112,           0.0079112
                  66,            0.035106,            0.019618,           0.0032825,             0.98213,             0.97361,                0.99,             0.77658,            0.012137,           0.0078628,            0.001566,           0.0078512,           0.0078512,           0.0078512
                  67,            0.036771,            0.020816,           0.0036642,             0.97935,             0.98229,             0.98028,              0.6776,            0.018868,           0.0079128,            0.001637,           0.0077907,           0.0077907,           0.0077907
                  68,            0.033994,            0.019845,           0.0025701,             0.98147,             0.98229,             0.98019,             0.79378,            0.013062,           0.0077183,           0.0015374,           0.0077296,           0.0077296,           0.0077296
                  69,             0.03603,            0.018951,           0.0040559,              0.9679,             0.98229,             0.98264,             0.79091,            0.013454,           0.0079577,            0.001432,           0.0076679,           0.0076679,           0.0076679
                  70,            0.030003,            0.021119,            0.003267,             0.96588,             0.98039,             0.98896,             0.81553,            0.010801,           0.0082371,           0.0015377,           0.0076057,           0.0076057,           0.0076057
                  71,            0.032037,             0.02106,           0.0039104,             0.97479,             0.99136,             0.99119,             0.73457,            0.014936,           0.0086988,           0.0011124,            0.007543,            0.007543,            0.007543
                  72,            0.036906,            0.021373,           0.0038819,             0.98901,             0.99138,             0.98406,             0.74327,            0.015405,            0.010091,           0.0011618,           0.0074797,           0.0074797,           0.0074797
                  73,             0.03382,             0.02058,           0.0048727,             0.99107,             0.98706,             0.99197,             0.76669,            0.012875,           0.0097338,           0.0011569,            0.007416,            0.007416,            0.007416
                  74,            0.035896,             0.02064,           0.0032599,              0.9909,             0.96826,             0.99302,             0.83629,            0.011634,           0.0094557,           0.0011636,           0.0073518,           0.0073518,           0.0073518
                  75,             0.03628,            0.020961,           0.0029255,             0.97377,             0.98209,             0.98994,             0.77107,            0.014415,            0.009598,           0.0012895,           0.0072872,           0.0072872,           0.0072872
                  76,            0.031391,            0.019144,           0.0031763,             0.97531,             0.97367,             0.99004,             0.80035,            0.011271,           0.0090905,           0.0014868,           0.0072221,           0.0072221,           0.0072221
                  77,            0.033182,            0.019985,           0.0048433,             0.97386,             0.97652,             0.99043,             0.80221,            0.010223,           0.0092648,           0.0021075,           0.0071566,           0.0071566,           0.0071566
                  78,            0.032865,             0.01965,           0.0035966,             0.78676,             0.96414,             0.97103,             0.78938,           0.0095765,           0.0093973,            0.007765,           0.0070906,           0.0070906,           0.0070906
                  79,             0.02859,            0.018898,           0.0025815,             0.99095,              0.9624,             0.99015,             0.82586,            0.010264,           0.0093039,           0.0031679,           0.0070243,           0.0070243,           0.0070243
                  80,            0.033691,            0.019249,           0.0025194,             0.99436,              0.9909,             0.99466,             0.79266,            0.012825,           0.0096453,           0.0012051,           0.0069576,           0.0069576,           0.0069576
                  81,            0.035632,            0.018288,           0.0041576,              0.9675,             0.94438,             0.99058,             0.79974,            0.010165,           0.0099616,           0.0044498,           0.0068906,           0.0068906,           0.0068906
                  82,            0.031002,            0.019059,           0.0040257,             0.98152,             0.92779,             0.99197,             0.81673,            0.010797,           0.0097325,           0.0025051,           0.0068232,           0.0068232,           0.0068232
                  83,            0.036205,            0.018262,           0.0028649,             0.99147,             0.95292,             0.99404,             0.85092,            0.010608,           0.0084417,           0.0010849,           0.0067555,           0.0067555,           0.0067555
                  84,            0.032354,            0.018469,           0.0043908,             0.97233,             0.99135,             0.99384,             0.84265,           0.0099746,           0.0084423,          0.00087968,           0.0066874,           0.0066874,           0.0066874
                  85,             0.02981,            0.018026,           0.0026687,              0.9908,              0.9764,             0.99362,             0.78665,             0.01195,           0.0085458,          0.00090146,           0.0066191,           0.0066191,           0.0066191
                  86,            0.032531,            0.019325,           0.0021821,             0.97736,             0.99091,             0.99361,              0.8474,           0.0093447,           0.0084233,          0.00091292,           0.0065505,           0.0065505,           0.0065505
                  87,             0.03354,            0.018648,           0.0027224,             0.96734,             0.99091,             0.99192,             0.81385,           0.0093064,           0.0080179,           0.0010326,           0.0064816,           0.0064816,           0.0064816
                  88,            0.032155,            0.017889,           0.0022991,             0.99041,             0.98225,             0.99172,             0.77588,            0.012437,           0.0086649,          0.00096914,           0.0064125,           0.0064125,           0.0064125
                  89,            0.033445,             0.01807,           0.0030553,             0.97714,             0.99091,             0.99126,             0.86882,           0.0088751,           0.0078233,           0.0010716,           0.0063432,           0.0063432,           0.0063432
                  90,            0.029955,            0.019081,            0.002158,             0.97702,             0.99087,             0.99143,             0.86671,           0.0075817,           0.0072377,           0.0010112,           0.0062737,           0.0062737,           0.0062737
                  91,            0.035334,            0.018208,           0.0020056,             0.97742,             0.99089,             0.99134,             0.84346,           0.0091761,           0.0077812,          0.00087642,            0.006204,            0.006204,            0.006204
                  92,            0.034704,            0.018083,           0.0021641,             0.98715,             0.99091,             0.99116,             0.82776,           0.0091225,           0.0077873,          0.00082354,           0.0061341,           0.0061341,           0.0061341
                  93,            0.026572,            0.016852,           0.0026194,             0.98727,             0.99091,             0.99101,             0.84646,           0.0095438,           0.0079231,          0.00074341,            0.006064,            0.006064,            0.006064
                  94,            0.031015,            0.018164,           0.0016278,             0.99079,             0.99091,             0.99116,              0.8622,            0.010165,           0.0079095,          0.00078444,           0.0059938,           0.0059938,           0.0059938
                  95,            0.029644,            0.017441,           0.0025118,             0.97744,             0.99086,             0.99078,             0.87431,           0.0082748,            0.007447,          0.00088931,           0.0059235,           0.0059235,           0.0059235
                  96,            0.032515,            0.017787,           0.0032943,              0.9878,              0.9909,             0.99075,             0.81558,             0.01017,           0.0079123,          0.00085814,           0.0058531,           0.0058531,           0.0058531
                  97,            0.028112,             0.01745,           0.0034619,             0.98844,             0.99091,              0.9909,             0.84272,           0.0085716,           0.0071861,          0.00080841,           0.0057826,           0.0057826,           0.0057826
                  98,            0.027137,            0.017951,           0.0027676,              0.9882,              0.9909,             0.99158,             0.86965,           0.0096195,           0.0082831,          0.00073093,            0.005712,            0.005712,            0.005712
